s1,s2,s0,accuracy
24,9,36,0.877777778
3,18,36,0.869444444
24,3,36,0.869444444
24,15,36,0.866666667
9,24,36,0.863888889
18,18,36,0.863888889
24,6,36,0.863888889
18,6,36,0.861111111
6,24,36,0.858333333
15,18,36,0.858333333
3,21,32,0.855555556
6,18,36,0.855555556
18,3,36,0.855555556
18,15,36,0.855555556
24,12,36,0.855555556
24,24,36,0.855555556
15,21,32,0.852777778
18,24,36,0.852777778
21,24,36,0.852777778
3,24,36,0.85
18,9,36,0.85
21,3,32,0.85
9,18,36,0.847222222
12,18,32,0.847222222
12,18,36,0.847222222
18,12,32,0.847222222
18,12,36,0.847222222
18,15,32,0.847222222
24,21,36,0.847222222
6,24,24,0.844444444
12,24,36,0.844444444
18,3,32,0.844444444
24,18,36,0.844444444
6,18,32,0.841666667
6,21,32,0.841666667
18,9,32,0.841666667
24,3,24,0.841666667
3,12,24,0.838888889
9,21,32,0.838888889
15,24,36,0.838888889
21,15,32,0.838888889
3,18,18,0.836111111
9,3,14,0.836111111
9,12,18,0.836111111
9,18,32,0.836111111
12,9,24,0.836111111
3,3,5,0.833333333
3,15,19,0.833333333
3,18,32,0.833333333
6,15,19,0.833333333
9,6,18,0.833333333
9,12,24,0.833333333
9,15,27,0.833333333
12,12,24,0.833333333
12,24,24,0.833333333
6,18,27,0.830555556
15,3,27,0.830555556
18,6,32,0.830555556
18,21,32,0.830555556
18,24,24,0.830555556
21,12,32,0.830555556
24,6,24,0.830555556
6,12,18,0.827777778
9,3,18,0.827777778
9,21,27,0.827777778
15,6,19,0.827777778
18,3,27,0.827777778
18,9,27,0.827777778
21,9,32,0.827777778
24,12,24,0.827777778
3,9,18,0.825
3,15,27,0.825
6,21,27,0.825
6,24,42,0.825
9,18,18,0.825
12,3,24,0.825
12,6,24,0.825
15,12,19,0.825
15,18,27,0.825
15,24,24,0.825
18,12,27,0.825
21,6,32,0.825
21,18,32,0.825
21,21,32,0.825
24,9,42,0.825
3,18,27,0.822222222
3,24,24,0.822222222
6,6,9,0.822222222
9,3,16,0.822222222
9,9,18,0.822222222
15,3,19,0.822222222
15,9,30,0.822222222
15,15,27,0.822222222
15,18,32,0.822222222
18,21,27,0.822222222
21,6,27,0.822222222
21,6,42,0.822222222
24,9,48,0.822222222
24,18,42,0.822222222
24,21,24,0.822222222
24,24,24,0.822222222
3,15,30,0.819444444
3,24,48,0.819444444
6,9,16,0.819444444
6,24,48,0.819444444
12,9,18,0.819444444
12,12,18,0.819444444
12,15,27,0.819444444
12,18,18,0.819444444
12,18,27,0.819444444
18,6,18,0.819444444
18,18,32,0.819444444
21,3,42,0.819444444
21,9,27,0.819444444
21,9,37,0.819444444
21,12,42,0.819444444
21,24,42,0.819444444
3,21,42,0.816666667
6,9,18,0.816666667
6,15,27,0.816666667
6,18,18,0.816666667
9,6,14,0.816666667
12,6,18,0.816666667
