s1,s2,s0,accuracy
18,12,36,0.872222222
24,15,36,0.872222222
3,18,36,0.869444444
24,18,36,0.869444444
18,3,36,0.861111111
18,9,36,0.861111111
6,18,36,0.858333333
15,18,36,0.858333333
24,12,36,0.858333333
3,24,36,0.855555556
9,18,36,0.855555556
12,18,36,0.855555556
18,18,36,0.855555556
24,21,36,0.855555556
6,24,36,0.852777778
18,6,32,0.852777778
18,15,36,0.852777778
21,24,36,0.852777778
24,6,36,0.852777778
3,18,32,0.85
12,24,36,0.85
18,6,36,0.85
18,15,32,0.85
18,24,36,0.85
21,21,32,0.85
24,3,36,0.85
24,24,36,0.85
9,18,18,0.844444444
9,21,32,0.844444444
18,24,24,0.844444444
9,18,32,0.841666667
9,24,36,0.841666667
12,18,32,0.841666667
12,21,32,0.841666667
15,24,36,0.841666667
18,9,32,0.841666667
18,12,32,0.841666667
3,3,6,0.838888889
3,3,6,0.838888889
3,21,32,0.838888889
3,24,24,0.838888889
6,9,18,0.838888889
6,12,24,0.838888889
18,18,32,0.838888889
18,21,32,0.838888889
21,3,32,0.838888889
21,24,24,0.838888889
24,12,24,0.838888889
24,15,24,0.838888889
6,21,32,0.836111111
12,3,24,0.836111111
21,15,32,0.836111111
24,9,36,0.836111111
6,24,24,0.833333333
18,3,32,0.833333333
21,9,32,0.833333333
21,12,32,0.833333333
21,18,32,0.833333333
24,6,24,0.833333333
24,18,24,0.833333333
3,12,24,0.830555556
9,6,18,0.830555556
9,12,18,0.830555556
15,3,19,0.830555556
18,9,27,0.830555556
18,18,27,0.830555556
21,3,27,0.830555556
24,24,24,0.830555556
6,3,9,0.827777778
9,3,18,0.827777778
12,9,24,0.827777778
12,12,24,0.827777778
15,21,32,0.827777778
18,12,27,0.827777778
18,15,27,0.827777778
21,6,32,0.827777778
21,18,42,0.827777778
21,24,42,0.827777778
24,21,24,0.827777778
3,15,19,0.825
6,15,19,0.825
9,9,18,0.825
9,24,30,0.825
12,6,18,0.825
12,18,27,0.825
12,21,42,0.825
15,12,19,0.825
15,18,32,0.825
18,15,18,0.825
6,9,9,0.822222222
6,18,18,0.822222222
6,21,27,0.822222222
9,12,24,0.822222222
12,6,24,0.822222222
12,15,27,0.822222222
12,24,24,0.822222222
21,15,27,0.822222222
24,3,24,0.822222222
3,6,6,0.819444444
3,9,18,0.819444444
3,12,18,0.819444444
3,18,27,0.819444444
9,15,19,0.819444444
9,24,42,0.819444444
12,15,19,0.819444444
