s1,s2,s0,accuracy
6,9,18,0.802777778
9,15,23,0.802777778
12,6,24,0.802777778
12,9,24,0.802777778
24,3,30,0.802777778
3,21,42,0.8
3,24,30,0.8
6,15,19,0.8
6,15,30,0.8
9,24,42,0.8
12,12,21,0.8
12,21,27,0.8
12,24,30,0.8
12,24,42,0.8
15,12,23,0.8
15,15,19,0.8
15,21,27,0.8
18,9,23,0.8
18,24,42,0.8
21,3,42,0.8
21,18,42,0.8
21,21,37,0.8
24,12,30,0.8
24,15,24,0.8
24,18,30,0.8
24,21,24,0.8
3,21,27,0.8
15,18,18,0.8
6,3,6,0.797222222
6,3,9,0.797222222
9,24,30,0.797222222
15,3,30,0.797222222
15,9,23,0.797222222
18,3,27,0.797222222
21,12,27,0.797222222
21,15,42,0.797222222
21,21,42,0.797222222
24,3,42,0.797222222
24,12,24,0.797222222
24,24,24,0.797222222
3,9,9,0.797222222
12,24,24,0.797222222
15,18,23,0.797222222
3,3,6,0.794444444
3,3,6,0.794444444
3,6,11,0.794444444
3,18,18,0.794444444
3,18,23,0.794444444
6,12,21,0.794444444
6,18,23,0.794444444
9,6,16,0.794444444
9,15,30,0.794444444
15,3,19,0.794444444
15,24,30,0.794444444
18,21,21,0.794444444
21,6,37,0.794444444
21,24,42,0.794444444
24,6,30,0.794444444
24,9,30,0.794444444
6,6,8,0.794444444
6,6,9,0.794444444
9,12,12,0.794444444
12,21,21,0.794444444
12,21,42,0.794444444
3,6,9,0.791666667
3,12,12,0.791666667
6,3,12,0.791666667
6,12,24,0.791666667
6,21,21,0.791666667
9,21,21,0.791666667
12,9,21,0.791666667
15,15,30,0.791666667
15,24,42,0.791666667
18,18,23,0.791666667
21,6,42,0.791666667
21,12,21,0.791666667
24,18,42,0.791666667
3,12,15,0.788888889
9,9,12,0.788888889
18,21,37,0.788888889
21,18,21,0.788888889
24,3,24,0.788888889
24,15,42,0.788888889
6,6,12,0.788888889
6,9,9,0.788888889
9,12,15,0.788888889
12,9,12,0.788888889
18,12,23,0.788888889
21,12,42,0.788888889
18,15,23,0.788888889
3,3,4,0.786111111
9,6,12,0.786111111
9,21,37,0.786111111
12,6,21,0.786111111
15,6,19,0.786111111
15,9,27,0.786111111
21,9,21,0.786111111
24,24,30,0.786111111
15,3,23,0.786111111
15,12,15,0.786111111
21,3,21,0.786111111
21,6,21,0.786111111
24,9,48,0.786111111
6,15,23,0.783333333
12,3,12,0.783333333
12,6,15,0.783333333
3,6,8,0.783333333
6,9,12,0.783333333
6,24,48,0.783333333
9,3,14,0.783333333
9,12,21,0.783333333
9,15,15,0.783333333
12,6,12,0.783333333
12,12,15,0.783333333
15,3,15,0.783333333
21,15,21,0.780555556
21,21,21,0.780555556
3,6,12,0.780555556
6,15,15,0.780555556
15,9,15,0.780555556
21,12,37,0.780555556
6,3,11,0.777777778
15,21,21,0.777777778
24,15,48,0.777777778
6,21,37,0.777777778
24,3,48,0.777777778
12,3,21,0.775
9,24,48,0.775
12,24,48,0.775
15,6,15,0.775
18,3,23,0.775
24,24,48,0.775
21,3,37,0.772222222
21,9,37,0.772222222
21,15,37,0.772222222
24,18,48,0.772222222
12,9,15,0.772222222
12,21,37,0.772222222
3,12,21,0.769444444
3,24,48,0.769444444
12,15,15,0.769444444
15,21,37,0.769444444
24,6,48,0.769444444
24,21,48,0.769444444
3,15,15,0.769444444
3,21,37,0.769444444
12,3,15,0.769444444
21,18,37,0.769444444
3,9,12,0.766666667
18,24,48,0.766666667
12,12,12,0.766666667
15,15,15,0.766666667
6,6,11,0.763888889
21,24,48,0.763888889
24,12,48,0.763888889
9,3,12,0.758333333
15,24,48,0.755555556
3,3,3,0.727777778
