s1,s2,s0,accuracy
21,3,21,0.783333333
3,9,12,0.783333333
6,6,8,0.783333333
12,9,15,0.783333333
12,12,21,0.783333333
12,15,23,0.783333333
21,21,21,0.783333333
6,3,9,0.780555556
3,6,11,0.780555556
6,3,12,0.780555556
6,9,12,0.780555556
18,15,18,0.780555556
24,6,48,0.780555556
12,9,21,0.777777778
6,12,15,0.777777778
6,15,15,0.777777778
9,9,12,0.777777778
12,3,15,0.777777778
12,6,15,0.777777778
12,21,37,0.777777778
15,3,15,0.777777778
21,6,21,0.777777778
6,3,8,0.775
15,6,15,0.775
15,9,15,0.775
15,21,37,0.775
15,24,48,0.775
18,24,48,0.775
21,6,37,0.775
3,15,15,0.772222222
21,24,48,0.769444444
24,9,48,0.769444444
24,12,48,0.769444444
24,15,48,0.769444444
24,21,48,0.769444444
24,24,48,0.769444444
12,24,48,0.769444444
24,18,48,0.769444444
15,12,15,0.766666667
24,3,48,0.763888889
15,15,15,0.763888889
6,24,48,0.761111111
12,15,15,0.761111111
3,3,3,0.744444444
